policy_year,count,revenue,industry,state,employees,average_employee_age,multinational,risk_score
2019,0,599206,General Commercial,NC,23,41,0,NA
2013,0,331832,Manufacturing,NY,46,25,0,4
2022,0,3346689,Financial Services,OH,234,16,1,5
2014,0,1533837,General Commercial,FL,450,18,0,4
2015,0,468114,General Commercial,VA,36,31,0,NA
2020,0,935275,General Commercial,OH,89,24,0,NA
2013,0,718316,Financial Services,CA,74,16,0,3
2019,0,6090230,Manufacturing,TX,3499,24,1,NA
2018,1,544492,Oil/Gas,GA,57,24,0,2
2023,0,789712,Manufacturing,FL,90,19,0,NA
2017,0,958600,Financial Services,CA,26,69,0,NA
2017,0,2079859,Financial Services,TX,225,21,0,5
2024,0,1401060,Manufacturing,TX,74,35,0,NA
2016,0,755124,Manufacturing,FL,24,44,0,2
2020,0,447551,General Commercial,NY,27,21,0,3
2016,0,789899,General Commercial,CA,201,53,0,2
2017,0,547160,Manufacturing,MI,25,16,0,NA
2017,0,410458,General Commercial,TX,123,26,0,NA
2015,0,1296199,Manufacturing,GA,89,43,0,4
2016,0,1236446,General Commercial,FL,70,48,0,3
2021,2,2107953,General Commercial,MI,288,20,0,4
2016,0,937118,Financial Services,OH,144,25,0,NA
2018,0,353678,Manufacturing,CA,137,23,0,4
2023,0,1344348,Manufacturing,MA,108,100,0,3
2022,0,1614129,General Commercial,CA,163,49,0,2
2021,1,574671,Financial Services,PA,28,16,0,NA
2018,0,234187,General Commercial,FL,26,16,0,3
2024,0,2735497,General Commercial,TX,355,16,1,2
2023,0,571553,General Commercial,PA,18,37,0,2
2023,0,1238300,General Commercial,IL,126,30,0,NA
2023,0,386359,Manufacturing,IL,16,16,0,3
2014,0,2434666,Manufacturing,PA,232,31,0,4
2020,0,654733,General Commercial,NY,38,16,0,NA
2018,1,951785,General Commercial,PA,66,23,0,NA
2022,0,280767,Financial Services,TX,110,24,0,3
2017,0,1013915,General Commercial,NJ,70,22,0,4
2017,1,957740,General Commercial,CA,106,16,0,3
2022,0,551297,Financial Services,NC,89,16,0,3
2019,0,1403569,General Commercial,PA,110,54,0,NA
2020,0,780678,Financial Services,OH,206,35,0,5
2013,0,505137,Financial Services,GA,39,29,0,3
2023,0,3865951,Financial Services,NC,493,18,1,2
2013,0,1158226,General Commercial,VA,460,16,0,NA
2019,0,1721831,Manufacturing,FL,299,40,0,2
2013,0,310694,General Commercial,TX,72,34,0,3
2017,0,522680,General Commercial,NJ,57,21,0,NA
2019,0,534337,Manufacturing,NY,20,16,0,3
2022,0,1312442,General Commercial,AZ,187,31,0,3
2022,0,558951,Oil/Gas,TX,98,33,0,5
2019,0,1114658,Financial Services,CA,83,39,0,4
2020,0,701129,Manufacturing,CA,96,43,0,3
2021,0,1154906,General Commercial,NC,98,16,0,1
2014,0,530742,Financial Services,CA,97,35,0,NA
2019,0,629473,Oil/Gas,FL,30,17,0,3
2020,0,205223,General Commercial,TX,16,25,0,3
2017,0,500396,Manufacturing,NJ,101,23,0,2
2018,0,543641,Manufacturing,CA,34,23,0,3
2023,0,2942601,General Commercial,MI,237,46,1,4
2015,0,570257,General Commercial,PA,106,41,0,4
2014,0,487907,Manufacturing,MA,89,38,0,2
2013,0,1216804,General Commercial,NC,319,18,0,2
2024,0,905027,General Commercial,TX,81,16,0,2
2021,1,615082,General Commercial,IL,102,28,0,2
2019,1,712943,Manufacturing,MI,162,35,0,3
2019,0,901728,General Commercial,FL,31,20,0,4
2022,0,502348,Financial Services,VA,63,42,0,2
2015,0,1625963,General Commercial,CA,160,52,0,NA
2022,0,846657,Manufacturing,AZ,35,16,0,2
2023,0,458218,Oil/Gas,IL,20,30,0,3
2015,0,2227073,General Commercial,NC,106,28,0,3
2021,0,1901803,General Commercial,CA,235,16,0,3
2020,0,1433996,Financial Services,OH,49,57,0,NA
2018,3,6781420,General Commercial,FL,666,21,1,NA
2019,0,960773,General Commercial,NJ,64,18,0,2
2023,0,975678,General Commercial,MI,221,48,0,2
2015,0,1557285,General Commercial,WA,37,24,0,NA
2023,0,517895,General Commercial,PA,50,17,0,4
2019,0,2682885,Manufacturing,AZ,477,16,1,3
2014,0,1001865,General Commercial,MI,100,38,0,3
2016,0,485556,General Commercial,PA,21,16,0,NA
2015,0,859658,Manufacturing,FL,153,33,0,2
2023,0,738328,Manufacturing,MI,108,16,0,2
2020,0,185287,General Commercial,TX,17,52,0,NA
2019,0,316225,Oil/Gas,AZ,55,38,0,NA
2017,1,1525262,Financial Services,CA,208,37,0,NA
2020,0,757082,General Commercial,CA,177,17,0,2
2020,0,517573,General Commercial,CA,48,21,0,NA
2024,0,1127607,General Commercial,CA,165,38,0,NA
2022,2,3034150,Manufacturing,CA,713,16,1,NA
2022,0,1173633,General Commercial,NJ,110,24,0,3
2015,0,742319,Manufacturing,CA,123,16,0,5
2017,0,1541119,Manufacturing,NY,80,21,0,4
2015,0,NA,Manufacturing,FL,69,16,0,2
2013,0,4027733,General Commercial,FL,162,16,1,NA
2014,0,1067096,Manufacturing,CA,531,26,0,4
2019,0,1393911,General Commercial,MA,76,19,0,NA
2017,0,691406,Manufacturing,CA,92,25,0,NA
2014,0,798737,General Commercial,IL,53,16,0,2
2019,0,2653656,Manufacturing,NY,211,16,1,3
2015,0,816206,General Commercial,FL,102,36,0,NA
2021,0,3091813,Manufacturing,MA,141,26,1,NA
2023,-1,1611327,Financial Services,CA,250,43,0,NA
2021,0,324185,General Commercial,IL,114,26,0,NA
2018,0,3514154,Manufacturing,TX,623,27,1,NA
2020,0,488999,General Commercial,IL,33,16,0,2
2021,1,3368369,General Commercial,TX,401,31,1,5
2022,0,1712761,Manufacturing,MI,131,26,0,3
2019,1,2566602,Manufacturing,PA,76,24,1,4
2021,0,868773,General Commercial,IL,144,31,0,3
2021,0,3659127,Manufacturing,MA,490,29,1,2
2023,0,1042834,General Commercial,TX,68,37,0,3
2022,0,1315391,Manufacturing,CA,140,16,0,2
2022,0,316622,General Commercial,CA,18,23,0,NA
2014,0,916081,Oil/Gas,CA,79,30,0,NA
2019,0,155365,Manufacturing,IL,6,23,0,2
2014,0,491222,Financial Services,PA,100,30,0,NA
2021,0,946948,General Commercial,CA,212,27,0,NA
2016,0,393328,Oil/Gas,FL,53,23,0,5
2023,0,598875,Manufacturing,FL,81,18,0,NA
2016,0,357318,General Commercial,MI,9,23,0,3
2023,0,1632793,Manufacturing,NJ,91,49,0,2
2021,1,1106388,Manufacturing,VA,210,42,0,2
2021,1,1029863,Financial Services,NJ,69,25,0,NA
2022,0,864234,General Commercial,CA,76,55,0,4
2015,0,1357818,Financial Services,GA,27,44,0,NA
2018,0,1376858,General Commercial,FL,70,24,0,3
2020,0,881374,General Commercial,MI,76,16,0,2
2016,0,841159,Financial Services,FL,124,16,0,NA
2021,0,2945086,Financial Services,TX,142,43,1,NA
2018,0,1977918,Manufacturing,NJ,444,17,0,5
2013,0,423207,General Commercial,CA,701,44,0,NA
2014,0,2254633,Financial Services,NJ,182,24,0,3
2015,0,2538931,Manufacturing,PA,134,16,1,NA
2013,0,1216783,General Commercial,MI,52,44,0,3
2022,0,507701,General Commercial,CA,25,40,0,4
2022,1,1381422,General Commercial,CA,156,16,0,NA
2017,0,405016,General Commercial,WA,99,16,0,NA
2019,0,683602,General Commercial,CA,93,16,0,4
2019,0,1669500,General Commercial,FL,90,31,0,NA
2016,0,1282799,General Commercial,TX,126,45,0,2
2018,0,1260569,Manufacturing,MI,276,31,0,3
2018,0,664365,Manufacturing,PA,49,33,0,5
2019,0,514221,General Commercial,NY,221,21,0,NA
2024,0,160488,Manufacturing,NJ,11,20,0,3
2021,1,1811932,Manufacturing,NJ,234,16,0,3
2019,0,816638,General Commercial,MI,89,36,0,4
2020,0,476391,General Commercial,NY,44,33,0,NA
2022,0,409088,General Commercial,FL,44,29,0,NA
2020,0,807706,General Commercial,TX,54,26,0,4
2018,0,418797,Financial Services,NJ,98,27,0,3
2017,0,3457021,General Commercial,NC,159,26,1,3
2019,1,3188918,Manufacturing,TX,-127,37,1,5
2018,0,1459792,General Commercial,NY,241,16,0,NA
2019,0,429512,Financial Services,PA,52,16,0,NA
2017,0,550183,Manufacturing,IL,54,22,0,4
2019,0,681048,Financial Services,CA,61,20,0,1
2015,0,689201,Oil/Gas,TX,92,22,0,5
2020,0,1115948,General Commercial,CA,122,54,0,3
2019,0,342922,General Commercial,OH,19,87,0,NA
2017,0,771691,General Commercial,PA,25,28,0,NA
2016,0,2678383,General Commercial,PA,579,56,1,NA
2016,0,832250,Manufacturing,NC,142,61,0,NA
2018,2,1865407,General Commercial,IL,159,61,0,2
2016,0,372130,Manufacturing,CA,69,24,0,3
2019,0,1200192,General Commercial,NJ,258,16,0,3
2017,0,671956,General Commercial,TX,236,43,0,2
2020,0,1087463,Financial Services,NC,145,47,0,2
2015,1,242973,General Commercial,PA,9,19,0,NA
2023,1,744241,General Commercial,CA,113,47,0,NA
2021,0,2584977,Oil/Gas,TX,304,24,1,3
2013,0,763364,Manufacturing,FL,44,16,0,NA
2016,1,693942,Manufacturing,VA,36,28,0,3
2023,0,202385,General Commercial,GA,8,22,0,4
2019,0,4505937,General Commercial,FL,392,16,1,NA
2017,0,646306,General Commercial,NC,96,23,0,2
2016,0,559222,Manufacturing,CA,99,70,0,3
2017,0,759591,General Commercial,MA,57,27,0,5
2014,0,1499666,General Commercial,NY,52,26,0,4
2020,0,330030,Financial Services,CA,46,59,0,2
2021,0,1630877,Manufacturing,VA,65,52,0,NA
2022,0,1462850,General Commercial,VA,305,16,0,2
2016,0,266451,Manufacturing,MI,18,16,0,NA
2015,0,2776161,Manufacturing,CA,133,16,1,1
2021,0,852395,Financial Services,CA,83,35,0,2
2014,0,1221101,Manufacturing,CA,118,20,0,4
2018,0,317796,Manufacturing,TX,54,33,0,4
2014,0,4799864,General Commercial,PA,1077,16,1,2
2014,0,1197495,Manufacturing,NY,150,28,0,NA
2016,0,874079,Manufacturing,PA,144,16,0,NA
2018,0,2330297,Manufacturing,VA,182,27,0,2
2013,0,741039,General Commercial,MA,97,67,0,2
2023,0,1883163,General Commercial,TX,84,126,0,4
2021,0,2045168,Financial Services,VA,309,76,0,5
2020,0,379285,General Commercial,FL,122,28,0,2
2020,0,1987558,Financial Services,MA,199,32,0,NA
2023,0,1046875,Manufacturing,TX,72,16,0,5
2020,0,728693,General Commercial,VA,313,40,0,2
2021,0,2300691,Financial Services,TX,209,16,0,4
2015,0,1031460,General Commercial,MI,54,32,0,2
2020,0,1057552,Manufacturing,VA,170,21,0,NA
2015,0,479257,General Commercial,MI,58,16,0,NA
2016,0,537307,General Commercial,CA,56,41,0,3
2021,0,3310410,General Commercial,OH,843,34,1,2
2015,0,1419774,General Commercial,CA,88,28,0,NA
2017,0,551281,General Commercial,PA,56,19,0,2
2016,0,737394,General Commercial,AZ,49,51,0,NA
2023,0,1404255,General Commercial,NY,164,20,0,4
2022,0,508519,General Commercial,FL,56,18,0,4
2016,0,307769,Manufacturing,FL,11,32,0,5
2021,0,1120654,General Commercial,CA,102,28,0,NA
2019,0,241546,Oil/Gas,NJ,30,22,0,NA
2022,0,293916,General Commercial,FL,31,32,0,3
2019,0,1196483,General Commercial,AZ,151,18,0,2
2013,0,1330167,General Commercial,FL,158,38,0,NA
2015,0,959113,Financial Services,NY,29,39,0,3
2023,0,498654,Manufacturing,FL,136,18,0,5
2015,0,633339,General Commercial,CA,102,21,0,NA
2021,0,562247,Manufacturing,NC,72,40,0,2
2016,0,498006,Manufacturing,MA,56,38,0,3
2019,0,436947,General Commercial,PA,18,20,0,2
2018,0,1234107,Financial Services,CA,205,16,0,NA
2024,0,389230,General Commercial,CA,40,19,0,4
2014,0,473593,Manufacturing,MI,31,16,0,NA
2020,0,533591,Manufacturing,TX,73,22,0,2
2017,0,801683,Manufacturing,TX,145,16,0,3
2013,0,814903,Financial Services,VA,46,21,0,NA
2018,0,593757,Manufacturing,CA,83,30,0,NA
2015,0,715442,Financial Services,IL,87,49,0,4
2015,0,1377905,Financial Services,CA,169,16,0,4
2015,0,655895,Manufacturing,FL,99,32,0,NA
2020,1,2948335,Manufacturing,MI,78,38,1,4
2016,0,2526281,Manufacturing,VA,528,51,1,NA
2019,1,790487,Manufacturing,FL,117,26,0,NA
2021,0,368023,Financial Services,PA,36,22,0,NA
2023,0,1793914,Manufacturing,NJ,195,36,0,3
2013,0,993398,General Commercial,IL,189,16,0,3
2021,0,1013377,General Commercial,TX,41,16,0,3
2014,1,1929916,Financial Services,TX,244,26,0,4
2016,0,3096394,Manufacturing,FL,288,25,1,NA
2023,0,1298600,General Commercial,CA,99,16,0,NA
2017,0,1012779,Manufacturing,WA,155,34,0,5
2021,0,2640098,General Commercial,WA,213,16,1,NA
2023,0,1427837,Manufacturing,VA,188,46,0,NA
2022,0,1098785,General Commercial,CA,238,29,0,NA
2019,0,1002867,General Commercial,NY,37,47,0,NA
2020,0,496794,Manufacturing,CA,69,40,0,NA
2017,0,2816934,Manufacturing,CA,160,37,1,3
2019,0,324301,Financial Services,NY,30,35,0,NA
2017,0,1223922,General Commercial,FL,74,33,0,NA
2022,0,1955758,Financial Services,MI,192,35,0,NA
2021,0,791445,Manufacturing,GA,74,16,0,2
2021,0,1471650,Financial Services,FL,179,38,0,NA
2022,0,387482,Manufacturing,IL,23,39,0,NA
2024,0,1025230,Manufacturing,NC,72,45,0,NA
2019,0,1151775,General Commercial,TX,186,16,0,3
2020,0,838706,General Commercial,CA,114,21,0,NA
2013,0,2294299,Manufacturing,NC,341,27,0,NA
2016,0,714709,General Commercial,OH,30,35,0,3
2019,0,1385549,Financial Services,NY,139,16,0,3
2019,0,1202142,General Commercial,IL,59,54,0,NA
2016,0,171961,General Commercial,CA,16,50,0,1
2016,0,1802353,General Commercial,NJ,187,37,0,4
2021,0,2379580,General Commercial,FL,156,51,0,NA
2023,0,353597,General Commercial,NY,144,64,0,5
2016,0,556564,Manufacturing,CA,84,67,0,NA
2016,0,737237,Financial Services,CA,53,17,0,3
2013,1,704268,Manufacturing,GA,35,26,0,3
2019,0,304148,Manufacturing,NY,26,31,0,NA
2021,0,382409,Manufacturing,IL,39,27,0,4
2019,0,531863,General Commercial,VA,107,20,0,NA
2017,0,1173887,Oil/Gas,TX,171,16,0,NA
2014,0,1752375,General Commercial,VA,334,26,0,3
2014,0,701139,General Commercial,TX,149,29,0,NA
2023,0,905874,Manufacturing,NJ,254,49,0,NA
2018,0,1956367,Financial Services,CA,140,16,0,NA
2014,0,847880,Financial Services,TX,620,26,0,NA
2019,0,274576,Manufacturing,FL,29,123,0,NA
2019,0,1060034,General Commercial,AZ,98,66,0,4
2014,0,726165,General Commercial,NY,55,51,0,3
2023,0,474348,General Commercial,OH,48,29,0,2
2013,0,388163,General Commercial,CA,58,30,0,NA
2018,0,482990,Oil/Gas,PA,20,17,0,NA
2021,0,363939,General Commercial,NY,22,56,0,3
2023,0,3093296,Financial Services,IL,97,33,1,4
2018,0,902167,General Commercial,NC,100,30,0,NA
2018,0,1586396,General Commercial,FL,133,34,0,4
2022,0,771165,General Commercial,NC,164,22,0,2
2017,0,2678677,General Commercial,CA,133,33,1,1
2020,0,656260,General Commercial,NC,96,27,0,4
2024,0,1416322,Financial Services,IL,273,60,0,1
2017,0,1294645,Manufacturing,FL,73,31,0,3
2015,0,1194149,General Commercial,FL,119,20,0,3
2019,0,1741511,Manufacturing,NC,318,67,0,3
2021,0,1837898,Financial Services,CA,119,29,0,NA
2024,0,5918468,Manufacturing,FL,466,21,1,NA
2017,0,518587,Manufacturing,PA,88,41,0,NA
2015,0,1701449,Manufacturing,IL,350,25,0,NA
2016,0,887743,General Commercial,CA,132,23,0,5
2023,0,633059,Manufacturing,NY,67,18,0,3
2019,0,645211,General Commercial,NJ,51,19,0,NA
2016,0,2552288,Financial Services,IL,264,46,1,NA
2013,0,650091,Financial Services,CA,15,23,0,NA
2017,0,1054591,General Commercial,CA,175,23,0,3
2014,0,122041,General Commercial,CA,49,16,0,4
2024,0,435477,General Commercial,NY,39,29,0,2
2017,0,239240,Manufacturing,PA,46,25,0,2
2024,0,1190513,Manufacturing,CA,211,22,0,4
2014,0,1058843,General Commercial,NY,83,28,0,NA
2021,0,893315,Financial Services,MA,95,17,0,4
2019,0,510608,General Commercial,OH,41,49,0,NA
2023,0,1105293,General Commercial,NY,238,56,0,4
2022,0,1696036,General Commercial,MA,96,67,0,NA
2014,0,366559,General Commercial,IL,122,22,0,3
2017,1,2381575,General Commercial,NY,287,20,0,NA
2019,0,3587259,General Commercial,TX,256,70,1,NA
2014,0,1356041,Manufacturing,NJ,624,22,0,NA
2017,0,787276,General Commercial,NY,48,16,0,4
2023,0,548988,Manufacturing,NJ,200,56,0,2
2015,2,4952793,General Commercial,CA,2350,22,1,5
2015,0,399163,General Commercial,CA,25,18,0,3
2019,0,129594,General Commercial,CA,18,27,0,NA
2019,0,412047,Manufacturing,WA,98,103,0,NA
2016,0,383643,Manufacturing,MI,90,51,0,2
2018,0,280089,Financial Services,CA,27,16,0,NA
2024,0,1173058,Manufacturing,CA,52,18,0,3
2015,0,3856233,General Commercial,NY,903,16,1,NA
2015,0,1402214,Manufacturing,OH,190,16,0,5
2018,0,340676,General Commercial,TX,49,37,0,3
2020,0,987478,Manufacturing,NC,62,38,0,3
2020,0,333294,General Commercial,TX,60,23,0,2
2016,0,220122,General Commercial,FL,44,24,0,2
2018,0,2373918,General Commercial,NJ,103,27,0,NA
2017,0,499320,General Commercial,CA,47,42,0,3
2022,0,2676669,Financial Services,IL,530,26,1,NA
2016,0,2382250,General Commercial,FL,685,16,0,NA
2017,0,2960702,General Commercial,TX,210,27,1,3
2016,1,747772,General Commercial,OH,98,20,0,2
2019,0,570908,General Commercial,CA,54,19,0,NA
2016,0,1369943,Financial Services,CA,143,16,0,NA
2014,0,799183,Manufacturing,FL,43,69,0,4
2016,0,858253,General Commercial,CA,77,19,0,2
2015,1,1453869,General Commercial,NY,98,16,0,3
2017,0,2026063,Manufacturing,FL,114,16,0,3
2017,1,2729227,Oil/Gas,MI,793,32,1,1
2023,0,712456,Manufacturing,NY,22,22,0,1
2020,0,346097,Manufacturing,NY,65,31,0,NA
2018,1,3741754,Manufacturing,AZ,104,42,1,NA
2021,0,419337,Manufacturing,AZ,18,19,0,1
2016,0,710133,Manufacturing,FL,74,18,0,2
2019,0,810418,General Commercial,TX,131,25,0,2
2024,0,1065323,General Commercial,NC,144,16,0,NA
2014,0,782123,Financial Services,NY,114,17,0,4
2022,0,769236,Manufacturing,MI,181,16,0,1
2015,0,2621090,General Commercial,FL,563,25,1,1
2019,0,688659,Manufacturing,WA,55,29,0,NA
2019,0,706703,Financial Services,NC,100,27,0,NA
2016,0,2436032,Manufacturing,TX,78,63,0,4
2014,0,1264516,Financial Services,NC,71,41,0,2
2021,0,258768,Financial Services,GA,39,32,0,3
2014,1,764337,General Commercial,MI,86,16,0,NA
2017,0,740877,General Commercial,MA,139,24,0,3
2015,0,359971,Manufacturing,OH,33,21,0,5
2014,0,1118053,General Commercial,AZ,753,26,0,NA
2018,0,497196,Manufacturing,GA,103,16,0,NA
2022,0,420925,General Commercial,OH,33,30,0,3
2018,0,564887,General Commercial,NC,79,27,0,3
2014,0,2556883,Financial Services,TX,523,20,1,2
2021,0,866142,Financial Services,CA,58,44,0,1
2016,0,1473977,General Commercial,CA,121,37,0,4
2020,0,1909089,General Commercial,VA,163,20,0,4
2021,1,1809698,General Commercial,CA,215,21,0,NA
2016,0,950410,Financial Services,OH,94,76,0,2
2018,0,1267483,General Commercial,TX,139,28,0,NA
2013,0,569514,General Commercial,GA,52,44,0,NA
2022,0,2502244,Oil/Gas,MA,115,19,1,NA
2017,0,847475,General Commercial,OH,66,16,0,NA
2015,0,868984,Manufacturing,OH,106,18,0,NA
2013,0,1583305,General Commercial,CA,412,36,0,5
2014,0,819598,Financial Services,WA,101,22,0,5
2017,0,1842185,Manufacturing,CA,136,16,0,5
2014,1,2256112,Oil/Gas,FL,264,41,0,NA
2022,0,766606,General Commercial,FL,29,47,0,NA
2018,0,387557,General Commercial,OH,40,22,0,2
2018,0,835386,General Commercial,PA,74,91,0,3
2021,0,681795,General Commercial,CA,218,38,0,NA
2014,0,863194,General Commercial,MA,33,16,0,NA
2018,0,647766,General Commercial,CA,38,41,0,NA
2020,0,2392017,Financial Services,MA,236,38,0,NA
2018,0,3530614,General Commercial,TX,104,30,1,NA
2018,0,1469471,General Commercial,CA,32,31,0,3
2017,0,793257,General Commercial,PA,75,53,0,2
2021,1,1722324,General Commercial,WA,285,16,0,3
2021,0,296600,General Commercial,TX,17,21,0,2
2019,1,1186516,Oil/Gas,OH,103,30,0,4
2016,0,320571,Financial Services,FL,24,77,0,3
2024,0,960608,Manufacturing,PA,95,22,0,2
2017,0,390468,Manufacturing,NC,56,18,0,4
2017,0,604407,Manufacturing,PA,39,22,0,NA
2021,0,542853,General Commercial,NY,65,46,0,3
2016,0,438395,Manufacturing,CA,65,19,0,NA
2023,0,381141,General Commercial,OH,11,23,0,4
2019,0,362026,Oil/Gas,TX,102,18,0,NA
2017,0,2600665,Manufacturing,MA,105,16,1,NA
2021,0,1224204,General Commercial,MI,202,33,0,2
2023,0,6319961,Manufacturing,TX,278,23,1,2
2021,0,2673294,General Commercial,CA,295,29,1,5
2023,0,548922,General Commercial,PA,71,30,0,NA
2018,1,1698170,Financial Services,CA,394,35,0,3
2023,0,2022214,Financial Services,MI,308,16,0,NA
2020,0,1785537,General Commercial,MA,307,22,0,NA
2018,0,2161348,General Commercial,IL,250,16,0,NA
2013,0,595050,Manufacturing,FL,52,19,0,NA
2022,0,4072505,Manufacturing,CA,335,16,1,1
2015,0,344586,Manufacturing,NY,61,22,0,3
2023,0,891687,Financial Services,CA,69,20,0,NA
2021,1,572849,Manufacturing,CA,27,36,0,NA
2022,0,932188,Manufacturing,FL,55,40,0,NA
2014,0,478521,General Commercial,VA,36,16,0,NA
2023,0,1099732,General Commercial,NC,16,116,0,5
2019,0,608164,Manufacturing,GA,17,25,0,4
2019,0,1124381,Manufacturing,IL,70,49,0,2
2015,0,1790760,General Commercial,FL,266,16,0,4
2018,0,648957,Financial Services,VA,58,21,0,4
2015,0,1116766,Manufacturing,FL,129,17,0,NA
2016,0,242029,General Commercial,NC,14,21,0,3
2016,0,928813,General Commercial,VA,59,16,0,NA
2021,0,448930,Manufacturing,GA,43,26,0,2
2023,0,3228682,General Commercial,OH,123,105,1,NA
2021,0,1540748,Manufacturing,PA,89,25,0,3
2017,0,1212814,General Commercial,FL,189,59,0,NA
2019,0,845584,General Commercial,IL,115,36,0,NA
2023,0,1565208,General Commercial,NY,472,21,0,3
2023,0,505970,General Commercial,CA,62,16,0,2
2022,0,1437377,Manufacturing,MI,215,16,0,4
2017,0,583322,Manufacturing,MI,23,18,0,5
2019,0,1003848,General Commercial,MA,75,27,0,NA
2015,0,159275,General Commercial,NY,26,39,0,3
2021,0,1875866,Manufacturing,TX,382,25,0,2
2019,0,326413,General Commercial,AZ,49,25,0,NA
2023,0,485975,General Commercial,CA,71,19,0,NA
2016,1,513437,Manufacturing,CA,56,21,0,4
2015,0,619612,General Commercial,NJ,173,16,0,4
2023,0,561040,General Commercial,FL,46,21,0,NA
2016,0,553072,Manufacturing,NY,49,34,0,3
2017,0,871619,Manufacturing,MA,79,50,0,3
2023,0,469096,General Commercial,MI,25,30,0,3
2018,0,323379,General Commercial,TX,35,25,0,NA
2016,0,2208768,General Commercial,TX,754,36,0,5
2023,0,672672,General Commercial,OH,50,19,0,NA
2015,0,1199629,Manufacturing,NJ,158,41,0,NA
2020,0,1016491,Manufacturing,CA,88,34,0,2
2016,0,540908,General Commercial,CA,34,22,0,4
2022,0,942958,General Commercial,WA,158,16,0,NA
2017,0,1242405,General Commercial,FL,111,65,0,4
2022,0,756358,General Commercial,WA,84,36,0,NA
2016,0,379314,Manufacturing,PA,19,38,0,3
2015,1,7053924,Manufacturing,FL,533,28,1,NA
2014,0,405074,General Commercial,CA,18,16,0,NA
2016,0,1734131,General Commercial,NY,94,31,0,2
2023,0,468702,General Commercial,PA,179,19,0,2
2014,0,375854,General Commercial,PA,44,16,0,NA
2021,0,2181964,Manufacturing,NY,369,29,0,2
2021,0,1236112,General Commercial,AZ,247,57,0,3
2017,0,1038747,General Commercial,PA,43,47,0,3
2020,0,2750105,Manufacturing,CA,309,28,1,3
2017,0,1173712,General Commercial,OH,96,19,0,3
2022,0,789592,Financial Services,VA,146,22,0,4
2024,0,913599,General Commercial,WA,161,27,0,NA
2016,0,1145915,Manufacturing,GA,221,26,0,5
2019,0,569407,General Commercial,MA,59,49,0,2
2014,0,229475,Manufacturing,FL,35,22,0,NA
2015,0,2073816,General Commercial,TX,125,16,0,NA
2016,0,442108,Manufacturing,AZ,27,42,0,5
2020,0,650485,General Commercial,NY,202,25,0,NA
2017,1,5260352,Manufacturing,PA,1747,27,1,NA
2020,0,9597213,Manufacturing,TX,664,16,1,NA
2022,0,1364809,Manufacturing,NC,99,47,0,NA
2018,0,590572,Financial Services,TX,184,46,0,NA
2013,0,419700,General Commercial,CA,87,25,0,4
2018,0,575179,Manufacturing,IL,17,43,0,5
2014,0,1984560,Financial Services,FL,131,16,0,2
2016,0,698033,General Commercial,AZ,34,25,0,NA
2017,1,1004612,Oil/Gas,TX,75,16,0,NA
2024,0,2368883,Financial Services,TX,319,36,0,4
2020,1,1448646,Manufacturing,MI,156,22,0,NA
2014,0,1044260,General Commercial,AZ,172,46,0,3
2022,0,1173413,Financial Services,NJ,355,25,0,NA
2022,0,4382037,General Commercial,IL,519,28,1,NA
2022,0,477030,General Commercial,NY,69,24,0,3
2022,0,971295,General Commercial,NJ,40,88,0,NA
2016,0,986769,General Commercial,GA,107,16,0,NA
2015,0,2035376,General Commercial,NY,103,16,0,2
2015,0,1009564,General Commercial,CA,39,16,0,3
2019,0,620115,General Commercial,MI,57,42,0,4
2022,0,122353,Manufacturing,CA,6,35,0,NA
2018,0,1413807,Manufacturing,NY,49,27,0,2
2021,0,2710196,Manufacturing,TX,229,32,1,3
2021,0,161466,General Commercial,WA,10,19,0,2
2023,0,404969,Oil/Gas,NJ,54,65,0,NA
2023,0,1438895,Oil/Gas,FL,115,50,0,5
2024,0,460142,Financial Services,CA,36,41,0,4
2019,0,984362,General Commercial,AZ,96,26,0,NA
2015,0,1129932,Financial Services,VA,69,16,0,NA
2016,0,436481,General Commercial,NC,78,27,0,2
2014,0,265221,General Commercial,FL,44,32,0,NA
2017,0,1753772,General Commercial,TX,208,50,0,5
2014,0,233695,General Commercial,NJ,60,16,0,3
2023,0,822232,General Commercial,OH,21,19,0,2
2014,0,848863,Manufacturing,IL,90,19,0,2
2024,0,1757403,Financial Services,FL,82,18,0,2
2017,0,692097,Financial Services,TX,39,26,0,4
2020,0,1804261,General Commercial,NJ,179,16,0,3
2020,0,2623937,General Commercial,PA,129,17,1,NA
2014,1,459473,General Commercial,FL,23,57,0,2
2019,0,358411,General Commercial,NY,45,32,0,3
2020,0,541378,General Commercial,AZ,76,41,0,NA
2023,0,978729,Manufacturing,TX,129,22,0,NA
2022,0,777116,Manufacturing,GA,115,18,0,NA
2020,1,4213017,General Commercial,GA,120,19,1,NA
2023,0,1177548,Manufacturing,PA,130,36,0,2
2017,0,1331453,Manufacturing,OH,828,16,0,2
2017,0,628275,General Commercial,CA,38,43,0,4
2023,0,2769960,General Commercial,NC,1576,30,1,NA
2014,0,2570187,General Commercial,TX,293,28,1,3
2020,0,1596533,Financial Services,IL,262,50,0,3
2022,0,801372,Financial Services,VA,314,48,0,5
2022,0,1122656,Manufacturing,PA,99,31,0,4
2015,0,1550920,General Commercial,MI,126,16,0,NA
2018,0,1189958,Financial Services,VA,38,19,0,3
2015,0,873645,General Commercial,OH,27,33,0,NA
